Country Name,Country Code,Indicator Name,Indicator Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Congo, Dem. Rep.",COD,"School enrollment, preprimary (% gross)",SE.PRE.ENRR,,,,,,,,,,,,,,0.887359977,,,,,,,,0.8551,1.40907,,,,,3.00021,3.3693,4.01535,3.4117,3.68882,3.97916,3.95951,4.17917,4.44439,,,,
"Congo, Rep.",COG,"School enrollment, preprimary (% gross)",SE.PRE.ENRR,1.803570032,1.932989955,1.933210015,2.376830101,2.895450115,2.667690039,2.728519917,2.832570076,2.617199898,2.540649891,2.678070068,2.600219965,2.995160103,2.002939939,1.850550056,1.102419972,0.894460022,1.450449944,0.483509988,2.245879889,2.88428,3.40021,5.18897,6.06919,6.94901,7.27341,8.35068,9.24041,10.77888,10.81665,11.47088,11.5919,13.30865,,,,,,,
Colombia,COL,"School enrollment, preprimary (% gross)",SE.PRE.ENRR,8.075989723,9.231809616,8.497920036,9.425499916,10.96292019,11.92313957,11.46677017,12.22891998,12.84951973,13.40126991,,13.75988007,18.68502045,20.04340935,24.699.8998,28.21591949,35.17253113,,36.90291977,38.52682114,39.99532,39.90034,40.87104,,41.5419,43.53507,43.66886,42.36822,52.47498,55.81328,53.91874,55.53343,,,,,,71.0848,78.49556,
Comoros,COM,"School enrollment, preprimary (% gross)",SE.PRE.ENRR,,,,,,,,,,,,,,,,,,,,2.678100109,2.13875,,,3.09606,4.28577,,,,24.64543,,,,,23.48286,20.87961,,,20.41787,,
Cabo Verde,CPV,"School enrollment, preprimary (% gross)",SE.PRE.ENRR,,,10.47399998,,10.86752987,,,23.07534981,,,,,,,,,,,,46.76931,,52.91415,57.01895,61.03085,62.97751,65.93806,66.52546,67.41657,68.9754,68.89048,68.44487,72.50048,70.48785,71.0278,71.42765,74.98312,75.74679,73.54087,73.2327,
Costa Rica,CRI,"School enrollment, preprimary (% gross)",SE.PRE.ENRR,19.21832085,20.23810959,22.16276932,23.6828804,21.38623047,25.94115067,26.83115005,26.33946037,27.21279907,28.2089901,29.38660049,32.09730148,31.85043907,32.02759171,32.50027084,34.32194901,35.77151871,84.06118774,40.47092056,45.90151978,45.65473,58.15135,61.22146,,66.04604,71.75415,74.17323,,75.53392,77.4599,77.4386,77.93864,77.51363,79.32893,80.54488,79.30821,78.05493,80.54816,97.93651,
Caribbean small states,CSS,"School enrollment, preprimary (% gross)",SE.PRE.ENRR,57.11386108,53.86236954,56.16009903,58.73250961,57.37746811,56.27357864,57.32733154,55.36669159,58.58266068,58.15570831,58.60569,59.75352097,61.78773117,64.82943726,67.11105347,68.02178192,69.13327789,69.90274048,71.02306366,72.14878845,74.70115662,72.49381256,76.11390686,75.86795044,82.24246216,84.30477905,82.81247711,81.4596405,81.40921021,83.69660187,83.52365,85.00559,87.14136,87.80685,79.12451,82.43892,76.94479,78.21161,77.2325,
Cuba,CUB,"School enrollment, preprimary (% gross)",SE.PRE.ENRR,54.83261871,58.23764038,62.4263382,66.01696014,67.34136963,75.23056793,78.30010986,80.27366638,94.39105225,94.1247799.,90.04138184,100.3347931,87.00086975,92.27445984,91.82161713,87.78157043,93.26589203,87.70575714,90.91066742,99.4984665,99.92925,99.35975,99.48382,99.48326,99.15629,99.59068,99.41585,99.45062,99.98544,99.64046,100.891,100.4739,,92.46508,98.74937,100.4015,99.4475,90.6117,98.23532,
Curacao,CUW,"School enrollment, preprimary (% gross)",SE.PRE.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,"School enrollment, preprimary (% gross)",SE.PRE.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,"School enrollment, preprimary (% gross)",SE.PRE.ENRR,19.68551064,23.04554939,25.00542068,26.48509026,29.48942947,32.79195023,34.78459167,34.27693176,37.29795074,37.62384033,39.99855042,42.254879,44.20848083,59.07801056,59.06750107,59.4113884,60.18109131,60.10913849,,59.80717087,56.97778,59.71287,59.24801,59.64474,60.73173,64.75806,78.75882,79.62865,82.64052,80.51357,79.09064,79.45822,77.92455,78.5377,77.10958,80.27531,,,,
Czech Republic,CZE,"School enrollment, preprimary (% gross)",SE.PRE.ENRR,82.20114136,84.58274078,85.66568756,87.03868103,88.02674103,87.98301697,87.80207825,92.09020233,98.53439331,99.6524734,99.9108582,96.40036774,87.26177979,85.19586945,85.97583008,89.52706909,90.43599701,88.04872894,88.09197235,90.20613098,90.25152,91.2633,97.20355,99.57715,99.49393,99.44248,99.86182,100.01267,99.21139,100.70853,99.2866,99.5854,99.9341,100.1912,100.4251,99.1695,99.2942,99.419,,
Germany,DEU,"School enrollment, preprimary (% gross)",SE.PRE.ENRR,,,,,,,,,,,,,,89.37700653,89.62985992,83.21289825,87.71938324,90.89051056,,,,,,,,,,,,,,,,99.5238,99.3239,99.7945,99.8634,99.1274,,
Djibouti,DJI,"School enrollment, preprimary (% gross)",SE.PRE.ENRR,,,,,,0.574400008,0.821479976,0.754670024,0.710619986,0.652419984,0.647740006,0.608829975,0.552200019,0.547349989,0.572139978,0.617990017,0.499309987,0.60582,0.633639991,0.438360006,0.55671,0.54917,0.80501,,1.98241,,1.82048,2.85686,3.32218,3.19351,,5.05485,4.3761,,,5.16416,5.82442,6.96879,7.82604,9.18032
Dominica,DMA,"School enrollment, preprimary (% gross)",SE.PRE.ENRR,,,,,,,70.58158875,72.31739807,84.15937805,,79.65116119,84.43608856,79.17655945,99.6492233,,,,,,74.88317871,64.39465,74.50599,74.83421,61.56202,76.48797,93.47542,92.5195,90.7863,100.15986,99.16099,99.4464,99.6449,97.58019,100.1249,91.10988,96.70642,95.69707,,,
Denmark,DNK,"School enrollment, preprimary (% gross)",SE.PRE.ENRR,85.40016174,88.1938324,94.89012909,91.27323151,91.19342041,94.07460785,93.7768631,96.134552,92.40667725,95.32692719,95.77073669,98.72532654,90.9249573,80.44109344,81.95085144,81.31665802,81.77098083,,89.84803009,90.56446075,91.06367,88.85045,89.2228,90.74445,92.57883,94.71323,95.17268,95.66292,95.86466,96.52529,99.94996,99.87533,100.5542,97.45402,96.33772,95.73925,95.79108,95.91547,,
Dominican Republic,DOM,"School enrollment, preprimary (% gross)",SE.PRE.ENRR,3.928679943,3.9993999,4.05783987,5.717050076,9.739549637,8.697239876,9.300909996,10.79909039,,,,,,17.42338943,19.06966019,24.27139091,30.06727982,31.52298927,31.69371033,32.51567078,34.6062,,32.18845,31.62733,30.51912,32.8767,35.20622,35.06595,37.07842,40.05116,40.53581,40.39562,42.08484,45.75935,47.86211,48.37351,48.56942,51.00507,,
Algeria,DZA,"School enrollment, preprimary (% gross)",SE.PRE.ENRR,,,,,,,,,,,,,,1.332599998,1.735090017,1.763260007,2.055049896,2.187629938,,2.425339937,2.70938,3.37811,,3.97962,4.72231,6.17514,29.03519,30.09886,36.25928,80.29272,83.93086,79.074,,,,,,,,
East Asia & Pacific (excluding high income),EAP,"School enrollment, preprimary (% gross)",SE.PRE.ENRR,10.26403999,13.14846992,13.06976986,14.12217999,15.23925972,17.26615906,19.51452065,20.99029922,22.57925987,22.38682938,21.51885986,22.03466034,22.98903084,23.84008026,24.38772011,25.44268036,26.50309944,27.84650993,37.78176117,40.72278976,40.6816597,40.7879715,37.94054031,37.95611954,38.76720047,39.95838928,42.40256119,44.99168015,47.22534943,49.96472931,52.30979,57.24146,64.48898,68.54709,71.55708,73.86371,76.88732,78.98731,81.38123,
Early-demographic dividend,EAR,"School enrollment, preprimary (% gross)",SE.PRE.ENRR,11.86343002,12.5820303,13.40884972,14.07157993,14.66814041,15.14231014,15.93076038,16.45791054,17.10869026,17.02582932,16.85666084,17.33888054,17.30810928,17.27676964,17.68242073,18.01889992,18.23604012,15.04864979,15.79039001,15.88782024,16.3718605,16.34760094,16.91542053,17.5277195,17.82508087,18.87462044,21.31500053,22.7286396,24.6346302,24.86705017,25.0148,26.39103,28.24676,29.71972,31.31043,32.17163,32.89877,34.369,35.02552,
